class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,flat,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,flat,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
e,flat,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g
p,convex,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
p,flat,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
e,flat,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,convex,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g
e,convex,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d
e,flat,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
e,flat,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d
e,flat,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,flat,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,flat,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
e,flat,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,flat,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
p,convex,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
p,flat,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
e,flat,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,flat,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d
e,flat,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
e,flat,y,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
e,flat,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,v,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,convex,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
e,flat,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
e,flat,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
p,flat,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,convex,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
p,flat,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
e,flat,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,convex,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
p,convex,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d
e,convex,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
p,convex,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
p,convex,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d
e,flat,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
e,flat,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
e,convex,f,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
p,convex,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
e,flat,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,v,d
e,flat,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,y,d
e,flat,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d
p,convex,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
e,convex,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d
e,convex,f,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,convex,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
p,flat,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,convex,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
e,convex,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d
p,convex,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d
e,convex,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,convex,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d
e,convex,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
e,flat,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d
e,convex,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,v,d
e,convex,y,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d
e,convex,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,y,d
p,flat,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,flat,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d
e,convex,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d
e,convex,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d
e,convex,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d
e,flat,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
e,convex,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
e,convex,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d
e,convex,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d
e,flat,f,n,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d
e,flat,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,convex,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
p,convex,s,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
